date,text
22.02.2025,'...schreibt Friedrich Merz kurz nach dem nächsten Messerangriff, diesmal durch einen 19-jährigen Asylbewerber aus Syrien, mitten in der Hauptstadt.'
22.02.2025,'That's the "new normal" in Germany. Tomorrow, we will change the future of our country together. #3Freunde'
20.02.2025,'Neubürgergeld.'
20.02.2025,'Sehen eher wie drei Bandmitglieder der "Toten Hosen" aus, nachdem sie das Wahlergebnis der AfD gehört haben.'
20.02.2025,'Wieso nur kürzen? Wir streichen jede Ausgabe, die nicht den Interessen unserer eigenen Bürger dient.'
13.02.2025,'US-Vizepräsident 
@JDVance
 hat deutlich gemacht: Im Gegensatz zur EU wird künstliche Intelligenz in den USA nicht als Gefahr, sondern als Chance für die Meinungsfreiheit betrachtet. Dabei legt die Trump-Administration großen Wert darauf, dass KI frei von Ideologie bleibt. Etwas, das wir ganz ähnlich bewerten:

"Künstliche Intelligenz: Chancen und Risiken im Fokus

KI-Systeme stellen einen großen Wachstumsmarkt dar; von diesen können und wollen wir uns in Deutschland nicht abkoppeln. Deshalb sind effektive gesetzliche Rahmenbedingungen notwendig, die den Einsatz zum Beispiel in Medizintechnik und Verkehrswesen ermöglichen. Voraussetzung für den Einsatz von KI ist jederzeit verfügbare, kostengünstige Energie.

Gleichzeitig kann KI aber auch ein Risiko speziell für Kritische Infrastruktur, Verkehrstechnik und bürgerliche Freiheiten darstellen. Die zentralistische Regulierung dieser Themen durch die EU, wie durch den Cybersecurity Act, Ethik-Leitlinien für KI und den Artificial Intelligence Act, lehnt die AfD ab und fordert praxisnahe, nationale Lösungen."

(AfD Bundestagswahlprogramm 2025)
Bild: IMAGO / Bestimage'
13.02.2025,'Der Fahrer, der in München ein Auto in eine Verdi-Demo steuerte, ist nach Medienberichten ein Afghane (26). Prognose: Wie schon der Täter in Aschaffenburg wird auch er im CSU-regierten Bayern polizeibekannt & ausreisepflichtig sein - und als "psychisch krank" eingestuft werden.'
13.02.2025,'Was waren das noch Zeiten, als deutsche "Leitmedien" Diplomatie forderten, statt es "bitter" zu nennen, wenn Kriege diplomatisch beendet werden. "Teuer" wird es darüber hinaus vor allem für den deutschen Steuerzahler, wenn dieser Krieg auf Biegen und Brechen weitergeführt wird.'
12.02.2025,'Wenn KI nicht frei von Ideologie bleibt, ist sie eine Gefahr? Macht irgendwie wenig Sinn...'
12.02.2025,'Zwischen "auf Inhalte achten" und "Blödsinn über die AfD" verbreiten gibt es einen Unterschied...'
