"","X","user.id","user.name","user.profilePic","user.profileUrl","pageName","postId","viewsCount","time","link","text","likes","url","partyname"
"235",235,100044313345755,"ישראל ביתנו","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwEvsOJp&_nc_oc=AdmkjFzUe7NsqU9buNb74EgnwhywrDW2QVC655mun-mHW-_kCFO5aed_Ty7eT0o0wDc&_nc_zt=24&_nc_ht=scontent-lax3-1.xx&_nc_gid=UZd9jQcZ4GLokDzYt1PpCQ&oh=00_AfGb1UrdQl669678vKvV7JpP18baXyZhUHK15DnhNfS4ig&oe=68104939","https://www.facebook.com/beytenu","beytenu",2650570658308890,NA,"2019-08-31T13:32:06.000Z","https://beytenu.org.il/campaign/israel-beitenu","רק ביחד נוכל לעצור מדינת הלכה. ב-17 בספטמבר שמים ל' בקלפי!",37,"https://www.facebook.com/beytenu/posts/pfbid0219CEjumPmhx3baMGMjXPmFKZVXPJZiZjGuwY6JALGY3Nv4v3UnoUxnckgG2oyT4Kl","Israel is Our Home201909"
"236",236,100044313345755,"ישראל ביתנו","https://scontent-lax3-1.xx.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwEvsOJp&_nc_oc=AdmkjFzUe7NsqU9buNb74EgnwhywrDW2QVC655mun-mHW-_kCFO5aed_Ty7eT0o0wDc&_nc_zt=24&_nc_ht=scontent-lax3-1.xx&_nc_gid=UZd9jQcZ4GLokDzYt1PpCQ&oh=00_AfGb1UrdQl669678vKvV7JpP18baXyZhUHK15DnhNfS4ig&oe=68104939","https://www.facebook.com/beytenu","beytenu",2648970985135524,NA,"2019-08-30T15:41:57.000Z","https://beytenu.org.il/campaign/israel-beitenu","מחיפה ועד אשדוד -
""חיה ותן לחיות!""

גם היום, צעירי ישראל ביתנו הפגינו נוכחות בחיפה, ראשון לציון, תל אביב ואשדוד.

ב-17 בספטמבר שמים ל' בקלפי ואומרים כן למדינה יהודית ולא מדינת הלכה!",1086,"https://www.facebook.com/beytenu/posts/pfbid02vvZdDwuAdeAkjetR9oAjdHxNSaBWA99cMSd2w2XwkZnnrfLQZhGLa7SmPNNoaadbl","Israel is Our Home201909"
"237",237,100044118129877,"מפלגת כחול לבן","https://scontent.flad4-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwH9YjRV&_nc_oc=Adk9qr_LIxYvQhyzUzAM3VUz3fKWmPPw2RibtNwPGucaLby3uhnOOnT14kXUlZzWLH4&_nc_zt=24&_nc_ht=scontent.flad4-1.fna&_nc_gid=wpmllkhZSYbMaeWiQwIWTw&oh=00_AfFfx7tMzBqNRQOrXdFAPDuyv6G49CAWktaS7335YQ2F4w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",401138294094073,NA,"2019-08-06T17:10:57.000Z","","חברי כחול לבן במבצע בתי חולים ברחבי הארץ: המיליארדים שהולכים לבחירות יכלו להציל חיים

יחד עם מאות פעילי ופעילות השטח הגיעו היום (ג') חברי הכנסת מטעם כחול לבן לכ12 בתי חולים בכל רחבי הארץ והציגו את התחייבויות לשיקום מערכת הבריאות בהשקעה של 12.5 מיליארד ש""ח

שרת הבריאות לשעבר ח""כ יעל גרמן: ""מצב מערכת הבריאות אינו גזירה משמים. כשהיינו בממשלה התחלנו להשקיע במערכת והעברנו הצעת תקציב ל2015 שהייתה מביאה למערכת מיליארדים. לדאבונינו הממשלה התפרקה והמליארדים לא הגיעו למערכת. כחול לבן היא המפלגה היחידה המתחייבת להשקיע 12 מליארד שח במערכת הבריאות כדי לצמצם תורים, לצמצם את זמני ההמתנה בחדרי המיון, להוסיף רופאים ואחיות ולהוציא את הזקנה מהמסדרון"".

ח""כ בועז טופורובסקי: ""משבר הבריאות במדינת ישראל הוא עוד פצע פתוח המעיד על סדר העדיפויות הלקוי של ראש הממשלה. מערכת הבריאות הציבורית קורסת מעומס ומחוסר תקציבים. חובתינו להבטיח שירותי בריאות ברמה הגבוהה ביותר לכל אחת ואחד"".

ח""כ מירב כהן: ""במשך שנים התגאו קברניטי המדינה במערכת הבריאות שלנו שהיא בגדר נס רפואי. במקום למנף אותה, הוזנחה מערכת הבריאות וכעת היא פשוט גוועת ברעב ונמצאת מרחק פסיעה מקריסה. יהיה מאד מאתגר להציל את המערכת על רקע הגרעון התקציבי העמוק אליו הכניסה אותנו ממשלת נתניהו אבל ההשקעה בבריאות חייבת להיות בראש סדרי העדיפויות שלנו.
צריך להבין שמדובר במשבר לאומי. במקום להשקיע בהקמת בתי חולים, בהוספת תקנים לרופאים ואנשי צוות כספי נתניהו גרר אותנו למערכת בחירות מיותרות. המיליארדים שהולכים לבחירות יכלו להציל חיים״.",260,"https://www.facebook.com/kachollavan19/posts/pfbid05Rkvue5i1fcqoFqtyjeyiZcMRarnq9wfSKbZUuxrp2cR1JgP5w1VVj8onub4TXg5l","Blue and White201909"
"238",238,100044118129877,"מפלגת כחול לבן","https://scontent.flad4-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwH9YjRV&_nc_oc=Adk9qr_LIxYvQhyzUzAM3VUz3fKWmPPw2RibtNwPGucaLby3uhnOOnT14kXUlZzWLH4&_nc_zt=24&_nc_ht=scontent.flad4-1.fna&_nc_gid=wpmllkhZSYbMaeWiQwIWTw&oh=00_AfFfx7tMzBqNRQOrXdFAPDuyv6G49CAWktaS7335YQ2F4w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",400986730775896,28621,"2019-08-06T11:43:22.000Z","https://media1.tenor.co/images/f828e3d5b227615652a5eb766fdb189b/tenor.gif?itemid=13823741","הדיל של נתניהו וסמוטריץ נחשף:
מדינת הלכה תמורת חסינות.",719,"https://www.facebook.com/kachollavan19/videos/491140878362967/","Blue and White201909"
"239",239,100044118129877,"מפלגת כחול לבן","https://scontent.flad4-1.fna.fbcdn.net/v/t39.30808-1/314885479_669840467829885_8308584856661007730_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=111&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=RXLldU_MmQsQ7kNvwH9YjRV&_nc_oc=Adk9qr_LIxYvQhyzUzAM3VUz3fKWmPPw2RibtNwPGucaLby3uhnOOnT14kXUlZzWLH4&_nc_zt=24&_nc_ht=scontent.flad4-1.fna&_nc_gid=wpmllkhZSYbMaeWiQwIWTw&oh=00_AfFfx7tMzBqNRQOrXdFAPDuyv6G49CAWktaS7335YQ2F4w&oe=68104F51","https://www.facebook.com/kachollavan19","kachollavan19",398733371001232,NA,"2019-08-02T09:12:25.000Z","","כחול לבן בשטח בכל רחבי הארץ.

שבת שלום לכולם!",315,"https://www.facebook.com/kachollavan19/posts/pfbid02WEAQvXA4JLjZVmZNwwdWjyA1xjmFV8ky9EiZnRKZiEbDyb3FgMBzxuhRmszgUbzml","Blue and White201909"
"240",240,100044269772204,"מפלגת הליכוד","https://scontent.fjpr1-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwF9Beke&_nc_oc=AdlaE7vafM92LLj2wBQDdTVZSru_fMR2ZGMeKasnzP24ajc9v2JCfZyzEZ8k2l2bxFs&_nc_zt=24&_nc_ht=scontent.fjpr1-1.fna&_nc_gid=XZ7zElUp2qGWRMxuXjlLBA&oh=00_AfEwEZz0CcsWr9BqZFGAbHDIqZqViYickyOsuC9atPM9lA&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2454995134557134,11425,"2019-08-19T13:49:09.000Z","","מה?",461,"https://www.facebook.com/Likudofficial/videos/926531157682136/","The Consolidation201909"
"241",241,100044269772204,"מפלגת הליכוד","https://scontent.fjpr1-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwF9Beke&_nc_oc=AdlaE7vafM92LLj2wBQDdTVZSru_fMR2ZGMeKasnzP24ajc9v2JCfZyzEZ8k2l2bxFs&_nc_zt=24&_nc_ht=scontent.fjpr1-1.fna&_nc_gid=XZ7zElUp2qGWRMxuXjlLBA&oh=00_AfEwEZz0CcsWr9BqZFGAbHDIqZqViYickyOsuC9atPM9lA&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",517303225705720,3764,"2019-08-19T13:32:50.000Z","","כאן בכנרת ממנגלים, שמחים ונהנים יחד עם עם ישראל, ואיך לא - כותרת פוליטית! הצטרפו אלינו לשידור החי!",303,"https://www.facebook.com/Likudofficial/videos/517303225705720/","The Consolidation201909"
"242",242,100044269772204,"מפלגת הליכוד","https://scontent.fjpr1-1.fna.fbcdn.net/v/t39.30808-1/274339135_494010088751313_8817560597747044103_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=108&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=7YoyJ5YRtsUQ7kNvwF9Beke&_nc_oc=AdlaE7vafM92LLj2wBQDdTVZSru_fMR2ZGMeKasnzP24ajc9v2JCfZyzEZ8k2l2bxFs&_nc_zt=24&_nc_ht=scontent.fjpr1-1.fna&_nc_gid=XZ7zElUp2qGWRMxuXjlLBA&oh=00_AfEwEZz0CcsWr9BqZFGAbHDIqZqViYickyOsuC9atPM9lA&oe=68105207","https://www.facebook.com/Likudofficial","Likudofficial",2454865937903387,568017,"2019-08-19T12:22:34.000Z","","לפיד וגנץ - שמאל חלש.",6981,"https://www.facebook.com/Likudofficial/videos/446431849419312/","The Consolidation201909"
"243",243,100044313345755,"ישראל ביתנו","https://scontent.fmgf14-1.fna.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwFFoUTb&_nc_oc=AdlwAAvWckdLYEoyJ7GBF5a_vv_hfGIxFiN75wYKsU8iTCwqTr0KWEGpcduwZnkqqHA&_nc_zt=24&_nc_ht=scontent.fmgf14-1.fna&_nc_gid=4wK8NY1ZlB8jqecJ4XCn9g&oh=00_AfGP3M8MERfQy_ey4DuSwSZIOvsbeYkdCdCbTwvP0QCkVQ&oe=68104939","https://www.facebook.com/beytenu","beytenu",2646659755366647,NA,"2019-08-29T10:18:53.000Z","https://beytenu.org.il/campaign/israel-beitenu","ביבי יישאר ביבי",44,"https://www.facebook.com/beytenu/posts/pfbid02SWN5wHSVgJFdoREeLQJGVjfwFrhAF1titU5Ny9NXPPNJTDgLbpn69sCD7aeRTZXil","Israel is Our Home201909"
"244",244,100044313345755,"ישראל ביתנו","https://scontent.fmgf14-1.fna.fbcdn.net/v/t39.30808-1/342659226_1417965558936795_6049159103379916098_n.jpg?stp=cp0_dst-jpg_s40x40_tt6&_nc_cat=104&ccb=1-7&_nc_sid=2d3e12&_nc_ohc=Jc-abFTVdtAQ7kNvwFFoUTb&_nc_oc=AdlwAAvWckdLYEoyJ7GBF5a_vv_hfGIxFiN75wYKsU8iTCwqTr0KWEGpcduwZnkqqHA&_nc_zt=24&_nc_ht=scontent.fmgf14-1.fna&_nc_gid=4wK8NY1ZlB8jqecJ4XCn9g&oh=00_AfGP3M8MERfQy_ey4DuSwSZIOvsbeYkdCdCbTwvP0QCkVQ&oe=68104939","https://www.facebook.com/beytenu","beytenu",2646256382073651,NA,"2019-08-29T03:55:14.000Z","https://beytenu.org.il/campaign/israel-beitenu","ב-17 בספטמבר מונעים מדינת הלכה ושמים ל' בקלפי!",49,"https://www.facebook.com/beytenu/posts/pfbid0RwiCWg2wgtLJYTAkFthGBifBZayA9CHeYGavSbMy9ZLfLxPQ8QWvp9AmSzshwSnSl","Israel is Our Home201909"
